"datum_uhrzeit";"startort";"zielort";"fahrtzeit_minuten"
2025-04-01 06:35:52.31309;"Leonding";"Linz Hauptbahnhof";10.1333333333333
2025-04-01 06:35:54.204326;"Leonding";"Industriezeile, Linz";15.8
2025-04-01 06:35:54.470588;"Leonding";"Johannes-Kepler-Universität Linz";18.8833333333333
2025-04-01 06:35:54.816585;"Gallneukirchen";"Linz Hauptbahnhof";28.4833333333333
2025-04-01 06:35:55.102823;"Gallneukirchen";"Industriezeile, Linz";20.5666666666667
2025-04-01 06:35:55.321526;"Gallneukirchen";"Johannes-Kepler-Universität Linz";14.5666666666667
2025-04-01 06:35:55.521363;"Ansfelden";"Linz Hauptbahnhof";17.1
2025-04-01 06:35:55.751288;"Ansfelden";"Industriezeile, Linz";19.0333333333333
2025-04-01 06:35:55.948335;"Ansfelden";"Johannes-Kepler-Universität Linz";22.4
2025-04-01 06:35:56.172829;"Pregarten";"Linz Hauptbahnhof";42.2
2025-04-01 06:35:56.425768;"Pregarten";"Industriezeile, Linz";32.3833333333333
2025-04-01 06:35:56.686213;"Pregarten";"Johannes-Kepler-Universität Linz";27.0166666666667
2025-04-01 06:35:56.917926;"Enns";"Linz Hauptbahnhof";24.5
2025-04-01 06:35:57.128026;"Enns";"Industriezeile, Linz";25.85
2025-04-01 06:35:57.348412;"Enns";"Johannes-Kepler-Universität Linz";29.75
2025-04-01 06:35:57.558418;"Steyregg";"Linz Hauptbahnhof";14.8833333333333
2025-04-01 06:35:57.820878;"Steyregg";"Industriezeile, Linz";13.05
2025-04-01 06:35:58.036119;"Steyregg";"Johannes-Kepler-Universität Linz";12.7166666666667
2025-04-01 06:35:58.214927;"Ottensheim";"Linz Hauptbahnhof";21.4
2025-04-01 06:35:58.495979;"Ottensheim";"Industriezeile, Linz";23.7833333333333
2025-04-01 06:35:58.72962;"Ottensheim";"Johannes-Kepler-Universität Linz";22.25
2025-04-01 06:35:58.982809;"Bad Leonfelden";"Linz Hauptbahnhof";45.8
2025-04-01 06:35:59.30894;"Bad Leonfelden";"Industriezeile, Linz";36.55
2025-04-01 06:35:59.519266;"Bad Leonfelden";"Johannes-Kepler-Universität Linz";32.5333333333333
2025-04-01 06:35:59.742473;"Wilhering";"Linz Hauptbahnhof";16.8666666666667
2025-04-01 06:36:00.092609;"Wilhering";"Industriezeile, Linz";19.5666666666667
2025-04-01 06:36:00.346961;"Wilhering";"Johannes-Kepler-Universität Linz";21.75
