"datum_uhrzeit";"startort";"zielort";"fahrtzeit_minuten"
2025-03-31 10:07:04.415684;"Leonding";"Linz Hauptbahnhof";10.0666666666667
2025-03-31 10:07:05.500008;"Leonding";"Industriezeile, Linz";14.35
2025-03-31 10:07:05.865579;"Leonding";"Johannes-Kepler-Universität Linz";18.8833333333333
2025-03-31 10:07:06.242329;"Gallneukirchen";"Linz Hauptbahnhof";20.5666666666667
2025-03-31 10:07:06.487317;"Gallneukirchen";"Industriezeile, Linz";16
2025-03-31 10:07:06.751656;"Gallneukirchen";"Johannes-Kepler-Universität Linz";12.7833333333333
2025-03-31 10:07:06.983303;"Ansfelden";"Linz Hauptbahnhof";13.55
2025-03-31 10:07:07.235192;"Ansfelden";"Industriezeile, Linz";15.3166666666667
2025-03-31 10:07:07.487963;"Ansfelden";"Johannes-Kepler-Universität Linz";19.8333333333333
2025-03-31 10:07:07.806016;"Pregarten";"Linz Hauptbahnhof";25.65
2025-03-31 10:07:08.072741;"Pregarten";"Industriezeile, Linz";21.1166666666667
2025-03-31 10:07:08.306806;"Pregarten";"Johannes-Kepler-Universität Linz";17.75
2025-03-31 10:07:08.598798;"Enns";"Linz Hauptbahnhof";19.8666666666667
2025-03-31 10:07:08.870369;"Enns";"Industriezeile, Linz";21.5333333333333
2025-03-31 10:07:09.138028;"Enns";"Johannes-Kepler-Universität Linz";26.0166666666667
2025-03-31 10:07:09.47082;"Steyregg";"Linz Hauptbahnhof";13.3
2025-03-31 10:07:09.747593;"Steyregg";"Industriezeile, Linz";11.2666666666667
2025-03-31 10:07:09.963239;"Steyregg";"Johannes-Kepler-Universität Linz";13.6333333333333
2025-03-31 10:07:10.268106;"Ottensheim";"Linz Hauptbahnhof";19.8333333333333
2025-03-31 10:07:10.481191;"Ottensheim";"Industriezeile, Linz";20.6833333333333
2025-03-31 10:07:10.72144;"Ottensheim";"Johannes-Kepler-Universität Linz";21.7333333333333
2025-03-31 10:07:10.942901;"Bad Leonfelden";"Linz Hauptbahnhof";38.9
2025-03-31 10:07:11.25528;"Bad Leonfelden";"Industriezeile, Linz";33.8666666666667
2025-03-31 10:07:11.509841;"Bad Leonfelden";"Johannes-Kepler-Universität Linz";32.0833333333333
2025-03-31 10:07:11.79243;"Wilhering";"Linz Hauptbahnhof";15.35
2025-03-31 10:07:12.091657;"Wilhering";"Industriezeile, Linz";17.9666666666667
2025-03-31 10:07:12.31204;"Wilhering";"Johannes-Kepler-Universität Linz";20.1666666666667
