"datum_uhrzeit";"startort";"zielort";"fahrtzeit_minuten"
2025-04-01 08:00:01.69318;"Leonding";"Linz Hauptbahnhof";13.5833333333333
2025-04-01 08:00:02.303456;"Leonding";"Industriezeile, Linz";18.1
2025-04-01 08:00:02.637163;"Leonding";"Johannes-Kepler-Universität Linz";22.2
2025-04-01 08:00:02.899781;"Gallneukirchen";"Linz Hauptbahnhof";30.7166666666667
2025-04-01 08:00:03.139925;"Gallneukirchen";"Industriezeile, Linz";30.2666666666667
2025-04-01 08:00:03.37575;"Gallneukirchen";"Johannes-Kepler-Universität Linz";14.1333333333333
2025-04-01 08:00:03.594915;"Ansfelden";"Linz Hauptbahnhof";23
2025-04-01 08:00:03.826245;"Ansfelden";"Industriezeile, Linz";23.8666666666667
2025-04-01 08:00:04.014399;"Ansfelden";"Johannes-Kepler-Universität Linz";28.55
2025-04-01 08:00:04.195546;"Pregarten";"Linz Hauptbahnhof";40.55
2025-04-01 08:00:04.429335;"Pregarten";"Industriezeile, Linz";33.3166666666667
2025-04-01 08:00:04.676497;"Pregarten";"Johannes-Kepler-Universität Linz";20.5166666666667
2025-04-01 08:00:04.872427;"Enns";"Linz Hauptbahnhof";26.6
2025-04-01 08:00:05.133972;"Enns";"Industriezeile, Linz";27.9166666666667
2025-04-01 08:00:05.313352;"Enns";"Johannes-Kepler-Universität Linz";32.4166666666667
2025-04-01 08:00:05.554254;"Steyregg";"Linz Hauptbahnhof";23.4
2025-04-01 08:00:05.767704;"Steyregg";"Industriezeile, Linz";19.2833333333333
2025-04-01 08:00:05.975458;"Steyregg";"Johannes-Kepler-Universität Linz";15.2166666666667
2025-04-01 08:00:06.16522;"Ottensheim";"Linz Hauptbahnhof";28.6666666666667
2025-04-01 08:00:06.380327;"Ottensheim";"Industriezeile, Linz";29.2666666666667
2025-04-01 08:00:06.568628;"Ottensheim";"Johannes-Kepler-Universität Linz";30.15
2025-04-01 08:00:06.765461;"Bad Leonfelden";"Linz Hauptbahnhof";41.6833333333333
2025-04-01 08:00:07.011003;"Bad Leonfelden";"Industriezeile, Linz";36.1666666666667
2025-04-01 08:00:07.202267;"Bad Leonfelden";"Johannes-Kepler-Universität Linz";32.0333333333333
2025-04-01 08:00:07.39082;"Wilhering";"Linz Hauptbahnhof";17.6166666666667
2025-04-01 08:00:07.644345;"Wilhering";"Industriezeile, Linz";25.0333333333333
2025-04-01 08:00:07.877946;"Wilhering";"Johannes-Kepler-Universität Linz";29.5666666666667
